episode,event,passed_gates,elapsed_s,path_length_m,avg_speed_mps,time_per_meter_s_per_m,collision_type,miss_direction,spawn_x,spawn_y_gz,spawn_y_train,spawn_theta,gate1_center_y_train,gate2_center_y_train,gate3_center_y_train,end_x,end_y_gz,end_y_train,end_theta
65,collision,2,35.6258,2.8912,0.0812,12.3221,gate_pole,,1.1525,-0.1848,0.8152,-0.1614,1.1684,0.919,1.1568,3.9158,-0.0054,0.9946,0.1172
66,success,3,27.82,3.4425,0.1237,8.0812,,,0.8127,-0.2697,0.7303,0.1184,1.0089,0.9003,0.9482,4.1234,-0.0779,0.9221,0.0461
67,collision,2,38.2516,3.5024,0.0916,10.9214,gate_pole,,0.7449,-0.4985,0.5015,-0.1255,0.9277,1.164,1.1498,3.9039,-0.0425,0.9575,0.1467
68,timeout,0,120.001,0.1874,0.0016,640.4338,,,1.6986,-0.3955,0.6045,-0.1889,0.9133,0.8371,0.9122,1.7444,-0.3193,0.6807,1.1158
69,success,3,30.372,3.2681,0.1076,9.2936,,,1.0733,0.5492,1.5492,-0.1714,0.968,1.1061,0.9364,4.1538,-0.1189,0.8811,-0.4715
70,success,3,23.5785,3.6975,0.1568,6.3769,,,0.7118,0.6713,1.6713,-0.1133,1.0455,1.052,0.8764,4.1619,-0.1724,0.8276,-0.7871
71,timeout,2,120.0006,3.8375,0.032,31.2706,,,0.5216,-0.6248,0.3752,0.1258,1.1898,0.9252,1.1584,3.8775,-0.0389,0.9611,0.1956
72,collision,2,31.9182,3.8436,0.1204,8.3042,gate_pole,,0.3068,-0.4398,0.5602,-0.1754,1.0262,1.0332,1.1739,3.8939,-0.0398,0.9602,0.2746
73,timeout,0,120.0052,0.5479,0.0046,219.018,,,1.5359,-0.4455,0.5545,0.0081,1.155,0.8267,1.1425,1.8602,-0.0583,0.9417,0.6243
74,success,3,30.8358,2.9017,0.0941,10.6268,,,1.5106,-0.4691,0.5309,-0.1976,0.8724,1.0051,0.9432,4.1204,-0.0778,0.9222,0.0158
