episode,event,passed_gates,elapsed_s,path_length_m,avg_speed_mps,time_per_meter_s_per_m,collision_type,miss_direction,spawn_x,spawn_y_gz,spawn_y_train,spawn_theta,gate1_center_y_train,gate2_center_y_train,gate3_center_y_train,end_x,end_y_gz,end_y_train,end_theta
66,success,3,17.308,3.5809,0.2069,4.8335,,,0.8127,-0.2697,0.7303,0.1184,1.0089,0.9003,0.9482,4.1287,-0.1227,0.8773,0.0824
67,collision,0,2.8225,0.354,0.1254,7.974,gate_pole,,0.7449,-0.4985,0.5015,-0.1255,0.9277,1.164,1.1498,1.8587,-0.1222,0.8778,0.9642
68,success,3,13.4592,2.5832,0.1919,5.2103,,,1.6986,-0.3955,0.6045,-0.1889,0.9133,0.8371,0.9122,4.1411,0.1891,1.1891,0.2683
69,success,3,18.5286,3.7461,0.2022,4.9461,,,1.0733,0.5492,1.5492,-0.1714,0.968,1.1061,0.9364,4.1355,-0.1776,0.8224,-0.15
70,success,3,13.905,2.6736,0.1923,5.2008,,,0.7118,0.6713,1.6713,-0.1133,1.0455,1.052,0.8764,4.133,0.181,1.181,0.1298
71,success,3,36.2223,6.6438,0.1834,5.452,,,0.5216,-0.6248,0.3752,0.1258,1.1898,0.9252,1.1584,4.1248,0.118,1.118,0.053
72,success,3,18.4824,3.6992,0.2001,4.9963,,,0.3068,-0.4398,0.5602,-0.1754,1.0262,1.0332,1.1739,4.1362,0.0335,1.0335,0.1632
73,success,3,15.6154,3.0233,0.1936,5.165,,,1.5359,-0.4455,0.5545,0.0081,1.155,0.8267,1.1425,4.1409,-0.178,0.822,-0.2241
74,success,3,19.0138,3.7431,0.1969,5.0797,,,1.5106,-0.4691,0.5309,-0.1976,0.8724,1.0051,0.9432,4.1226,0.1912,1.1912,0.0237
75,success,3,12.8795,2.5508,0.1981,5.0492,,,0.309,-0.4141,0.5859,0.0897,1.1086,1.0767,1.0598,4.133,-0.1882,0.8118,-0.1353
76,success,3,16.9395,3.4541,0.2039,4.9042,,,1.683,0.2297,1.2297,0.1496,0.921,0.9368,0.8824,4.1297,-0.0333,0.9667,0.0909
77,success,3,18.4828,3.7036,0.2004,4.9904,,,0.3169,-0.4301,0.5699,-0.1515,1.1554,0.8889,0.873,4.1281,-0.1437,0.8563,-0.0794
78,success,3,13.9943,2.6656,0.1905,5.2499,,,0.3476,0.3358,1.3358,-0.1419,1.105,0.8718,1.1593,4.1359,-0.1748,0.8252,-0.1908
79,success,3,18.0839,3.5254,0.1949,5.1297,,,0.9879,0.4724,1.4724,-0.1063,0.9351,1.0545,0.967,4.131,-0.1157,0.8843,0.1191
